NUM_MPM;COD_PAY_ENTR;COD_STE_ENTR;COD_GARE_ENTR;LIB_GARE_ENT;COD_PAY_SOR;COD_STE_SOR;COD_GARE_SOR;LIB_GAR_SOR;HRD_SOR;DATE_SOR
25004902265700003;000;00;000;;250;06;010;FREJUS;04/12/2014 18:57:00;201412041857
25004902265700003;000;00;000;;250;06;019;ST ISIDORE ECH OUEST;18/12/2014 08:07:00;201412180807
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;29/12/2014 18:50:00;201412291850
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;03/12/2014 20:39:00;201412032039
25004902265700003;250;06;009;CAPITOU;250;06;002;LA BARQUE;02/12/2014 16:56:00;201412021656
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;20/12/2014 17:54:00;201412201754
25004902265700003;000;00;000;;250;06;010;FREJUS;10/12/2014 08:21:00;201412100821
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;29/12/2014 13:16:00;201412291316
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;05/12/2014 07:25:00;201412050725
25004902265700003;250;06;060;MANOSQUE;250;06;055;MEYRARGUES;26/12/2014 22:13:00;201412262213
25004902265700003;000;00;000;;250;06;010;FREJUS;08/12/2014 08:15:00;201412080815
25004902265700003;000;00;000;;250;06;054;PERTUIS SUD;12/12/2014 14:16:00;201412121416
25004902265700003;000;00;000;;250;06;010;FREJUS;16/12/2014 08:02:00;201412160802
25004902265700003;250;06;002;LA BARQUE;250;06;036;PONT DE L ETOILE;10/12/2014 13:11:00;201412101311
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;13/12/2014 19:46:00;201412131946
25004902265700003;000;00;000;;250;06;010;FREJUS;29/12/2014 19:10:00;201412291910
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;24/12/2014 16:04:00;201412241604
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;25/12/2014 14:47:00;201412251447
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;26/12/2014 21:16:00;201412262116
25004902265700003;000;00;000;;250;06;010;FREJUS;24/12/2014 12:50:00;201412241250
25004902265700003;000;00;000;;250;06;001;CANET DE MEYREUIL;12/12/2014 10:01:00;201412121001
25004902265700003;000;00;000;;250;06;010;FREJUS;27/12/2014 13:18:00;201412271318
25004902265700003;000;00;000;;250;06;012;ANTIBES P/V;18/12/2014 07:49:00;201412180749
25004902265700003;000;00;000;;250;06;014;ANTIBES OUEST;22/12/2014 18:40:00;201412221840
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;03/01/2015 17:03:00;201501031703
25004902265700003;000;00;000;;250;06;010;FREJUS;31/01/2015 12:40:00;201501311240
25004902265700003;250;06;007;LE MUY;250;06;002;LA BARQUE;18/01/2015 21:34:00;201501182134
25004902265700003;250;06;004;ST.MAXIMIN;250;06;007;LE MUY;19/01/2015 20:10:00;201501192010
25004902265700003;000;00;000;;250;06;010;FREJUS;30/01/2015 22:03:00;201501302203
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;01/01/2015 20:37:00;201501012037
25004902265700003;250;06;009;CAPITOU;250;06;008;PUGET ECHANGEUR;16/01/2015 00:14:00;201501160014
25004902265700003;000;00;000;;250;06;010;FREJUS;22/01/2015 19:08:00;201501221908
25004902265700003;000;00;000;;250;06;010;FREJUS;16/01/2015 08:43:00;201501160843
25004902265700003;000;00;000;;250;06;034;LA CIOTAT ECH.;13/01/2015 14:21:00;201501131421
25004902265700003;000;00;000;;250;06;010;FREJUS;14/01/2015 07:46:00;201501140746
25004902265700003;000;00;000;;250;06;010;FREJUS;08/01/2015 18:50:00;201501081850
25004902265700003;250;06;002;LA BARQUE;250;06;007;LE MUY;10/01/2015 11:09:00;201501101109
25004902265700003;250;06;009;CAPITOU;250;06;008;PUGET ECHANGEUR;05/01/2015 21:25:00;201501052125
25004902265700003;000;00;000;;250;06;010;FREJUS;30/01/2015 05:49:00;201501300549
25004902265700003;000;00;000;;250;06;010;FREJUS;20/01/2015 08:13:00;201501200813
