NUM_MPM;COD_PAY_ENTR;COD_STE_ENTR;COD_GARE_ENTR;LIB_GARE_ENT;COD_PAY_SOR;COD_STE_SOR;COD_GARE_SOR;LIB_GAR_SOR;HRD_SOR;DATE_SOR;HRD_ENTR;DATE_ENTR
25004903965600001;000;00;000;;250;06;010;FREJUS;06/02/2014 08:25:00;201402060825;;
25004903965600001;000;00;000;;250;06;010;FREJUS;25/03/2014 08:00:00;201403250800;;
25004903965600001;000;00;000;;250;06;010;FREJUS;15/03/2014 22:30:00;201403152230;;
25004903965600001;000;00;000;;250;06;010;FREJUS;27/03/2014 07:29:00;201403270729;;
25004903965600001;000;00;000;;250;06;010;FREJUS;27/03/2014 18:15:00;201403271815;;
25004903965600001;000;00;000;;250;06;010;FREJUS;04/03/2014 08:31:00;201403040831;;
25004903965600001;000;00;000;;250;06;010;FREJUS;26/03/2014 19:00:00;201403261900;;
25004903965600001;000;00;000;;250;06;010;FREJUS;18/03/2014 20:16:00;201403182016;;
25004903965600001;000;00;000;;250;06;010;FREJUS;05/03/2014 08:21:00;201403050821;;
25004903965600001;000;00;000;;250;06;010;FREJUS;25/03/2014 19:59:00;201403251959;;
25004903965600001;000;00;000;;250;06;010;FREJUS;05/03/2014 18:58:00;201403051858;;
25004903965600001;000;00;000;;250;06;010;FREJUS;18/03/2014 08:19:00;201403180819;;
25004903965600001;000;00;000;;250;06;010;FREJUS;04/03/2014 19:11:00;201403041911;;
25004903965600001;000;00;000;;250;06;010;FREJUS;26/03/2014 08:04:00;201403260804;;
25004903965600001;000;00;000;;250;06;010;FREJUS;28/04/2014 17:29:00;201404281729;;
25004903965600001;000;00;000;;250;06;010;FREJUS;10/04/2014 08:19:00;201404100819;;
25004903965600001;000;00;000;;250;06;010;FREJUS;11/04/2014 08:04:00;201404110804;;
25004903965600001;000;00;000;;250;06;010;FREJUS;25/04/2014 08:18:00;201404250818;;
25004903965600001;000;00;000;;250;06;010;FREJUS;28/04/2014 08:50:00;201404280850;;
25004903965600001;000;00;000;;250;06;010;FREJUS;11/04/2014 20:18:00;201404112018;;
25004903965600001;000;00;000;;250;06;010;FREJUS;17/04/2014 19:10:00;201404171910;;
25004903965600001;000;00;000;;250;06;010;FREJUS;10/04/2014 19:16:00;201404101916;;
25004903965600001;000;00;000;;250;06;010;FREJUS;17/04/2014 08:32:00;201404170832;;
25004903965600001;000;00;000;;250;06;010;FREJUS;25/04/2014 18:43:00;201404251843;;
25004903965600001;000;00;000;;250;06;010;FREJUS;28/05/2014 17:50:00;201405281750;;
25004903965600001;000;00;000;;250;06;010;FREJUS;30/05/2014 14:56:00;201405301456;;
25004903965600001;000;00;000;;250;06;010;FREJUS;16/05/2014 08:34:00;201405160834;;
25004903965600001;000;00;000;;250;06;010;FREJUS;16/05/2014 17:17:00;201405161717;;
